source_row,name,sample_start,sample_end,publication_year,significance,reason
104,gp_at,1963.0,2010.0,2013.0,1.0,eligible
105,gp_atl1,1967.0,2016.0,,0.0,missing_or_ambiguous_year
106,,,,,,missing_or_ambiguous_year
107,ope_be,1963.0,2013.0,2015.0,1.0,eligible
108,ope_bel1,1967.0,2016.0,,0.0,missing_or_ambiguous_year
109,,,,,,missing_or_ambiguous_year
110,op_at,1963.0,2013.0,,1.0,missing_or_ambiguous_year
111,op_atl1,1963.0,2014.0,2016.0,1.0,eligible
112,,,,,,missing_or_ambiguous_year
113,cop_at,1967.0,2016.0,,0.0,missing_or_ambiguous_year
114,cop_atl1,1963.0,2014.0,2016.0,1.0,eligible
115,,,,,,missing_or_ambiguous_year
116,f_score,1976.0,1996.0,2000.0,1.0,eligible
117,,,,,,missing_or_ambiguous_year
118,,,,2008.0,,missing_or_ambiguous_year
119,,,,2008.0,,missing_or_ambiguous_year
120,o_score,1981.0,1995.0,1998.0,1.0,eligible
121,,,,,,missing_or_ambiguous_year
122,z_score,1981.0,1995.0,1998.0,1.0,eligible
123,,,,,,missing_or_ambiguous_year
124,,1985.0,2007.0,2009.0,,missing_name
125,pi_nix,1973.0,2000.0,2004.0,1.0,eligible
126,,,,,,missing_or_ambiguous_year
127,,1979.0,2001.0,2005.0,,missing_name
128,at_be,1963.0,1990.0,1992.0,0.0,eligible
129,,,,,,missing_or_ambiguous_year
130,saleq_gr1,1967.0,2016.0,,0.0,missing_or_ambiguous_year
131,,1970.0,2008.0,2013.0,,missing_name
132,,,,2013.0,,missing_or_ambiguous_year
133,,1975.0,1995.0,2001.0,,missing_name
134,,1974.0,2010.0,2014.0,,missing_name
135,rd_me,1975.0,1995.0,2001.0,1.0,eligible
136,,,,,,missing_or_ambiguous_year
137,rd_sale,1975.0,1995.0,2001.0,0.0,eligible
138,,,,,,missing_or_ambiguous_year
139,opex_at,1963.0,2008.0,2011.0,1.0,eligible
140,,,,,,missing_or_ambiguous_year
141,emp_gr1,1965.0,2010.0,2014.0,1.0,eligible
142,rd5_at,1952.0,2004.0,2011.0,0.0,eligible
143,,,,2014.0,,missing_or_ambiguous_year
144,,1977.0,1991.0,1998.0,,missing_name
145,,1976.0,1992.0,1998.0,,missing_name
146,,1982.0,2008.0,2013.0,,missing_name
147,,1982.0,2008.0,2013.0,,missing_name
148,,1963.0,2001.0,2006.0,,missing_name
149,,1963.0,2001.0,2006.0,,missing_name
150,,1963.0,2001.0,2006.0,,missing_name
151,age,1965.0,2001.0,2005.0,1.0,eligible
152,,1966.0,2001.0,2005.0,,missing_name
153,,1964.0,2001.0,2005.0,,missing_name
154,,1964.0,2001.0,2005.0,,missing_name
155,dsale_dinv,1974.0,1988.0,1998.0,1.0,eligible
156,dsale_drec,1974.0,1988.0,1998.0,0.0,eligible
157,dgp_dsale,1974.0,1988.0,1998.0,0.0,eligible
158,dsale_dsga,1974.0,1988.0,1998.0,0.0,eligible
159,,1974.0,1988.0,1998.0,,missing_name
160,sale_emp_gr1,1974.0,1988.0,1998.0,0.0,eligible
161,,1982.0,1998.0,2001.0,,missing_name
162,tangibility,1973.0,2001.0,2009.0,0.0,eligible
163,,,,,,missing_or_ambiguous_year
164,,1971.0,2005.0,2010.0,,missing_name
165,kz_index,1968.0,1995.0,2001.0,1.0,eligible
166,,,,,,missing_or_ambiguous_year
167,,1975.0,2001.0,2006.0,,missing_name
168,,,,,,missing_or_ambiguous_year
169,,1985.0,2012.0,2016.0,,missing_name
170,,1985.0,2012.0,2016.0,,missing_name
171,ocfq_saleq_std,1980.0,2004.0,2009.0,1.0,eligible
172,cash_at,1972.0,2009.0,2012.0,0.0,eligible
173,,1990.0,1999.0,2003.0,,missing_name
174,,1975.0,2001.0,2005.0,,missing_name
175,,,,,,missing_or_ambiguous_year
176,,1981.0,1999.0,2003.0,,missing_name
177,ni_ar1,1975.0,2001.0,2004.0,0.0,eligible
178,ni_ivol,1975.0,2001.0,2004.0,0.0,eligible
179,earnings_variability,1975.0,2001.0,2004.0,0.0,eligible
180,,1975.0,2001.0,2004.0,,missing_name
181,,1975.0,2001.0,2004.0,,missing_name
182,,1975.0,2001.0,2004.0,,missing_name
183,,1981.0,2003.0,2006.0,,missing_name
184,,,,2006.0,,missing_or_ambiguous_year
185,aliq_at,1984.0,2006.0,2014.0,0.0,eligible
186,,,,,,missing_or_ambiguous_year
187,aliq_mat,1984.0,2006.0,2014.0,0.0,eligible
188,,,,,,missing_or_ambiguous_year
189,,1983.0,2006.0,2011.0,,missing_name
190,,1980.0,2000.0,2002.0,,missing_name
191,,1991.0,1997.0,2005.0,,missing_name
192,seas_1_1an,1965.0,2002.0,2008.0,1.0,eligible
193,seas_1_1na,1965.0,2002.0,2008.0,1.0,eligible
194,seas_2_5an,1965.0,2002.0,2008.0,1.0,eligible
195,seas_2_5na,1965.0,2002.0,2008.0,1.0,eligible
196,seas_6_10an,1965.0,2002.0,2008.0,1.0,eligible
197,seas_6_10na,1965.0,2002.0,2008.0,1.0,eligible
198,seas_11_15an,1965.0,2002.0,2008.0,1.0,eligible
199,seas_11_15na,1965.0,2002.0,2008.0,0.0,eligible
200,seas_16_20an,1965.0,2002.0,2008.0,1.0,eligible
201,seas_16_20na,1965.0,2002.0,2008.0,1.0,eligible
202,market_equity,1926.0,1975.0,1981.0,1.0,eligible
203,ivol_ff3_21d,1963.0,2000.0,2006.0,1.0,eligible
204,ivol_capm_252d,1976.0,1997.0,2003.0,1.0,eligible
205,ivol_capm_21d,1967.0,2016.0,,0.0,missing_or_ambiguous_year
206,ivol_hxz4_21d,1967.0,2016.0,,0.0,missing_or_ambiguous_year
207,rvol_21d,1963.0,2000.0,2006.0,1.0,eligible
208,,,,2006.0,,missing_or_ambiguous_year
209,beta_60m,1935.0,1968.0,1973.0,1.0,eligible
210,betabab_1260d,1926.0,2012.0,2014.0,1.0,eligible
211,beta_dimson_21d,1955.0,1974.0,1979.0,0.0,eligible
212,turnover_126d,1963.0,1991.0,1998.0,1.0,eligible
213,turnover_var_126d,1966.0,1995.0,2001.0,1.0,eligible
214,dolvol_126d,1966.0,1995.0,1998.0,1.0,eligible
215,dolvol_var_126d,1966.0,1995.0,2001.0,1.0,eligible
216,prc,1940.0,1978.0,1982.0,1.0,eligible
217,ami_126d,1964.0,1997.0,2002.0,1.0,eligible
218,zero_trades_21d,1963.0,2003.0,2006.0,0.0,eligible
219,zero_trades_126d,1963.0,2003.0,2006.0,1.0,eligible
220,zero_trades_252d,1963.0,2003.0,2006.0,1.0,eligible
221,rmax1_21d,1962.0,2005.0,2011.0,1.0,eligible
222,rskew_21d,1925.0,2012.0,2016.0,1.0,eligible
223,iskew_capm_21d,1967.0,2016.0,,0.0,missing_or_ambiguous_year
224,iskew_ff3_21d,1925.0,2012.0,2016.0,1.0,eligible
225,iskew_hxz4_21d,1967.0,2016.0,,0.0,missing_or_ambiguous_year
226,coskew_21d,1963.0,1993.0,2000.0,1.0,eligible
227,,1963.0,2010.0,2014.0,,missing_name
228,,1964.0,1999.0,2005.0,,missing_name
229,,1964.0,1999.0,2005.0,,missing_name
230,,1964.0,1999.0,2005.0,,missing_name
231,,1964.0,1999.0,2005.0,,missing_name
232,,1964.0,1999.0,2005.0,,missing_name
233,ret_1_0,1929.0,1982.0,1990.0,1.0,eligible
234,betadown_252d,1963.0,2001.0,2006.0,1.0,eligible
235,bidaskhl_21d,1927.0,2006.0,2012.0,1.0,eligible
236,,1963.0,2012.0,2016.0,,missing_name
237,,1973.0,2009.0,2014.0,,missing_name
238,,,,,,missing_or_ambiguous_year
239,,1984.0,1998.0,2002.0,,missing_name
240,ret_3_1,1965.0,1989.0,1993.0,1.0,eligible
241,ret_9_1,1965.0,1989.0,1993.0,1.0,eligible
242,ret_12_7,1925.0,2010.0,2012.0,1.0,eligible
243,corr_1260d,1925.0,2015.0,2020.0,1.0,eligible
244,rmax5_21d,1993.0,2012.0,2017.0,1.0,eligible
245,rmax5_rvol_21d,1925.0,2015.0,2020.0,1.0,eligible
246,ni_be,1979.0,1993.0,1996.0,1.0,eligible
247,ocf_at,1990.0,2015.0,2019.0,1.0,eligible
248,ocf_at_chg1,1990.0,2015.0,2019.0,1.0,eligible
249,mispricing_perf,1967.0,2013.0,2016.0,1.0,eligible
250,mispricing_mgmt,1967.0,2013.0,2016.0,1.0,eligible
251,qmj,1957.0,2016.0,2018.0,1.0,eligible
252,qmj_prof,1957.0,2016.0,2018.0,1.0,eligible
253,qmj_growth,1957.0,2016.0,2018.0,1.0,eligible
254,qmj_safety,1957.0,2016.0,2018.0,1.0,eligible
